5B66	xue2(5640)
5B69	hai2(1235)
5B6B	sun1(19)
5B75	fu1(21)
5B78	xue2(5640)
5B81	ning2(13) ning4(9)
5B83	ta1(2984)
5B85	zhai2(61)
5B87	yu3(144)
5B88	shou3(218)
5B89	an1(596)
5B8C	wan2(1502)
5B8F	hong2(31)
5B97	zong1(49) zong5(18)
5B98	guan1(276)
5B99	zhou4(130)
5B9A	ding4(2655)
5B9C	yi5(58) yi2(38)
5B9D	bao3(270)
5B9E	shi2(2729) shi5(200)
5BA1	shen3(58)
5BA2	ke4(569)
5BA3	xuan1(296)
5BA4	shi4(434)
5BAA	xian4(56)
5BAB	gong1(73)
5BAE	gong1(73)
5BB0	zai3(13)
5BB3	hai4(553) hai5(107)
5BB4	yan4(34)
5BB5	xiao1(34)
5BB6	jia1(4719) jia5(461)
5BB9	rong2(822)
5BBD	kuan1(185)
5BBE	bin1(9)
5BBF	su4(60) xiu3(15)
5BC2	ji4(64)
5BC4	ji4(101)
5BC6	mi4(481)
5BC7	kou4(19)
5BCC	fu4(314)
5BD2	han2(145)
5BD3	yu4(11)
5BDE	mo4(35)
5BDF	cha2(288)
5BE1	gua3(28)
5BE6	shi2(2729) shi5(200)
5BE7	ning2(13) ning4(9)
5BE9	shen3(58)
5BEB	xie3(1171)
5BEC	kuan1(185)
5BF6	bao3(270)
5BF8	cun4(63) cun5(29)
5BF9	dui4(5013)
5BFB	xun2(127) xin2(14)
5BFC	dao3(1403)
5BFF	shou4(20)
5C01	feng1(400)
5C04	she4(315)
5C06	jiang1(1194) jiang4(42)
5C07	jiang1(1194) jiang4(42)
5C08	zhuan1(602)
5C0A	zun1(122)
5C0B	xun2(127) xin2(14)
5C0D	dui4(5013)
5C0E	dao3(1403)
5C0F	xiao3(5435)
5C11	shao3(1187) shao5(362) shao4(323)
5C14	er3(26)
5C16	jian1(168)
5C18	chen2(81)
5C1A	shang4(64) shang5(20)
5C1D	chang2(38)
5C24	you2(110)
5C31	jiu4(11223)
5C38	shi1(14)
5C3A	chi3(124)
5C3D	jin3(212) jin4(166)
5C3E	wei3(169)
5C3F	niao4(16)
5C40	ju2(505)
5C41	pi4(48)
5C42	ceng2(488)
5C45	ju1(184)
5C46	jie4(70)
5C48	qu1(37) qu5(27)
5C49	ti5(17)
5C4A	jie4(70)
5C4B	wu1(774)
5C4E	shi3(14)
5C4F	ping2(10)
5C51	xie4(10)
5C55	zhan3(1433) zhan5(16)
5C5C	ti5(17)
5C5E	shu3(369)
5C60	tu2(15)
5C64	ceng2(488)
5C6C	shu3(369)
5C71	shan1(1704)
5C79	yi4(18)
5C7F	yu3(30)
5C81	sui4(519)
5C82	qi3(51)
5C96	qu1(13)
5C97	gang3(59) gang1(11)
5C9B	dao3(190)
5CA1	gang1(37)
5CA9	yan2(70)
5CAD	ling3(70)
5CB8	an4(343)
5CE1	xia2(97)
5CE6	luan2(13)
5CE8	e2(12)
5CED	qiao4(12)
5CF0	feng1(94)
5CF6	dao3(190)
5CFB	jun4(12)
5CFD	xia2(97)
5D07	chong2(55)
5D0E	qi2(13)
5D16	ya2(43)
5D17	gang3(59) gang1(11)
5D29	beng1(19)
5D2D	zhan3(34)
5D3D	zai3(10)
5D4C	qian4(17)
5D84	zhan3(34)
5D87	qu1(13)
5DBA	ling3(70)
5DBC	yu3(30)
5DCD	wei1(12)
5DD2	luan2(13)
5DDE	zhou1(30)
5DE1	xun2(12)
5DE2	chao2(28)
5DE5	gong1(5185)
5DE6	zuo3(546)
5DE7	qiao3(147)
5DE8	ju4(332)
5DE9	gong3(125)
5DEE	cha4(241) cha1(60) chai1(26)
5DF1	ji3(2585)
5DF2	yi3(2107)
5DF4	ba5(207) ba1(14)
5DF7	xiang4(37)
5DFE	jin1(86)
5E01	bi4(58)
5E02	shi4(690)
5E03	bu4(744)
5E05	shuai4(11)
5E06	fan1(22)
5E08	shi1(1142)
5E0C	xi1(321)
5E10	zhang4(172)
